pokedex_number,name,generation,species,type_number,type_1,type_2,height_m,weight_kg,abilities_number,ability_1,ability_2,ability_hidden,total_points,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,release_date,speed_class,strength_category
103,Alolan Exeggutor,1,Coconut Pokémon,2,Grass,Dragon,10.9,415.6,2,Frisk,None,Harvest,530.0,95.0,105.0,85.0,125.0,75.0,45.0,45.0,1996-01-01,Slow,Strong
104,Cubone,1,Lonely Pokémon,1,Ground,None,0.4,6.5,3,Rock Head,Lightning Rod,Battle Armor,320.0,50.0,50.0,95.0,40.0,50.0,35.0,190.0,1996-01-01,Slow,weak
105,Marowak,1,Bone Keeper Pokémon,1,Ground,None,1.0,45.0,3,Rock Head,Lightning Rod,Battle Armor,425.0,60.0,80.0,110.0,50.0,80.0,45.0,75.0,1996-01-01,Slow,weak
105,Alolan Marowak,1,Bone Keeper Pokémon,2,Fire,Ghost,1.0,34.0,3,Cursed Body,Lightning Rod,Rock Head,425.0,60.0,80.0,110.0,50.0,80.0,45.0,75.0,1996-01-01,Slow,weak
106,Hitmonlee,1,Kicking Pokémon,1,Fighting,None,1.5,49.8,3,Limber,Reckless,Unburden,455.0,50.0,120.0,53.0,35.0,110.0,87.0,45.0,1996-01-01,Fast,Strong
107,Hitmonchan,1,Punching Pokémon,1,Fighting,None,1.4,50.2,3,Keen Eye,Iron Fist,Inner Focus,455.0,50.0,105.0,79.0,35.0,110.0,76.0,45.0,1996-01-01,Fast,Strong
108,Lickitung,1,Licking Pokémon,1,Normal,None,1.2,65.5,3,Own Tempo,Oblivious,Cloud Nine,385.0,90.0,55.0,75.0,60.0,75.0,30.0,45.0,1996-01-01,Slow,weak
109,Koffing,1,Poison Gas Pokémon,1,Poison,None,0.6,1.0,3,Levitate,Neutralizing Gas,Stench,340.0,40.0,65.0,95.0,60.0,45.0,35.0,190.0,1996-01-01,Slow,weak
110,Weezing,1,Poison Gas Pokémon,1,Poison,None,1.2,9.5,3,Levitate,Neutralizing Gas,Stench,490.0,65.0,90.0,120.0,85.0,70.0,60.0,60.0,1996-01-01,Slow,Strong
110,Galarian Weezing,1,Poison Gas Pokémon,2,Poison,Fairy,3.0,16.0,3,Levitate,Neutralizing Gas,Misty Surge,490.0,65.0,90.0,120.0,85.0,70.0,60.0,,1996-01-01,Slow,Strong
111,Rhyhorn,1,Spikes Pokémon,2,Ground,Rock,1.0,115.0,3,Lightning Rod,Rock Head,Reckless,345.0,80.0,85.0,95.0,30.0,30.0,25.0,120.0,1996-01-01,Slow,weak
112,Rhydon,1,Drill Pokémon,2,Ground,Rock,1.9,120.0,3,Lightning Rod,Rock Head,Reckless,485.0,105.0,130.0,120.0,45.0,45.0,40.0,60.0,1996-01-01,Slow,Strong
113,Chansey,1,Egg Pokémon,1,Normal,None,1.1,34.6,3,Natural Cure,Serene Grace,Healer,450.0,250.0,5.0,5.0,35.0,105.0,50.0,30.0,1996-01-01,Slow,Strong
114,Tangela,1,Vine Pokémon,1,Grass,None,1.0,35.0,3,Chlorophyll,Leaf Guard,Regenerator,435.0,65.0,55.0,115.0,100.0,40.0,60.0,45.0,1996-01-01,Slow,weak
115,Kangaskhan,1,Parent Pokémon,1,Normal,None,2.2,80.0,3,Early Bird,Scrappy,Inner Focus,490.0,105.0,95.0,80.0,40.0,80.0,90.0,45.0,1996-01-01,Fast,Strong
115,Mega Kangaskhan,1,Parent Pokémon,1,Normal,None,2.2,100.0,1,Parental Bond,None,None,590.0,105.0,125.0,100.0,60.0,100.0,100.0,45.0,1996-01-01,Fast,Strong
116,Horsea,1,Dragon Pokémon,1,Water,None,0.4,8.0,3,Swift Swim,Sniper,Damp,295.0,30.0,40.0,70.0,70.0,25.0,60.0,225.0,1996-01-01,Slow,weak
117,Seadra,1,Dragon Pokémon,1,Water,None,1.2,25.0,3,Poison Point,Sniper,Damp,440.0,55.0,65.0,95.0,95.0,45.0,85.0,75.0,1996-01-01,Fast,Strong
118,Goldeen,1,Goldfish Pokémon,1,Water,None,0.6,15.0,3,Swift Swim,Water Veil,Lightning Rod,320.0,45.0,67.0,60.0,35.0,50.0,63.0,225.0,1996-01-01,Slow,weak
119,Seaking,1,Goldfish Pokémon,1,Water,None,1.3,39.0,3,Swift Swim,Water Veil,Lightning Rod,450.0,80.0,92.0,65.0,65.0,80.0,68.0,60.0,1996-01-01,Slow,Strong
120,Staryu,1,Star Shape Pokémon,1,Water,None,0.8,34.5,3,Illuminate,Natural Cure,Analytic,340.0,30.0,45.0,55.0,70.0,55.0,85.0,225.0,1996-01-01,Fast,weak
121,Starmie,1,Mysterious Pokémon,2,Water,Psychic,1.1,80.0,3,Illuminate,Natural Cure,Analytic,520.0,60.0,75.0,85.0,100.0,85.0,115.0,60.0,1996-01-01,Fast,Strong
122,Mr. Mime,1,Barrier Pokémon,2,Psychic,Fairy,1.3,54.5,3,Soundproof,Filter,Technician,460.0,40.0,45.0,65.0,100.0,120.0,90.0,45.0,1996-01-01,Fast,Strong
122,Galarian Mr. Mime,1,Dancing Pokémon,2,Psychic,Ice,1.4,56.8,3,Vital Spirit,Screen Cleaner,Ice Body,460.0,50.0,65.0,65.0,90.0,90.0,100.0,,1996-01-01,Fast,Strong
123,Scyther,1,Mantis Pokémon,2,Bug,Flying,1.5,56.0,3,Swarm,Technician,Steadfast,500.0,70.0,110.0,80.0,55.0,80.0,105.0,45.0,1996-01-01,Fast,Strong
124,Jynx,1,Human Shape Pokémon,2,Ice,Psychic,1.4,40.6,3,Oblivious,Forewarn,Dry Skin,455.0,65.0,50.0,35.0,115.0,95.0,95.0,45.0,1996-01-01,Fast,Strong
125,Electabuzz,1,Electric Pokémon,1,Electric,None,1.1,30.0,2,Static,None,Vital Spirit,490.0,65.0,83.0,57.0,95.0,85.0,105.0,45.0,1996-01-01,Fast,Strong
126,Magmar,1,Spitfire Pokémon,1,Fire,None,1.3,44.5,2,Flame Body,None,Vital Spirit,495.0,65.0,95.0,57.0,100.0,85.0,93.0,45.0,1996-01-01,Fast,Strong
127,Pinsir,1,Stag Beetle Pokémon,1,Bug,None,1.5,55.0,3,Hyper Cutter,Mold Breaker,Moxie,500.0,65.0,125.0,100.0,55.0,70.0,85.0,45.0,1996-01-01,Fast,Strong
127,Mega Pinsir,1,Stag Beetle Pokémon,2,Bug,Flying,1.7,59.0,1,Aerilate,None,None,600.0,65.0,155.0,120.0,65.0,90.0,105.0,45.0,1996-01-01,Fast,Strong
128,Tauros,1,Wild Bull Pokémon,1,Normal,None,1.4,88.4,3,Intimidate,Anger Point,Sheer Force,490.0,75.0,100.0,95.0,40.0,70.0,110.0,45.0,1996-01-01,Fast,Strong
129,Magikarp,1,Fish Pokémon,1,Water,None,0.9,10.0,2,Swift Swim,None,Rattled,200.0,20.0,10.0,55.0,15.0,20.0,80.0,255.0,1996-01-01,Fast,weak
130,Gyarados,1,Atrocious Pokémon,2,Water,Flying,6.5,235.0,2,Intimidate,None,Moxie,540.0,95.0,125.0,79.0,60.0,100.0,81.0,45.0,1996-01-01,Fast,Strong
130,Mega Gyarados,1,Atrocious Pokémon,2,Water,Dark,6.5,305.0,1,Mold Breaker,None,None,640.0,95.0,155.0,109.0,70.0,130.0,81.0,45.0,1996-01-01,Fast,Strong
131,Lapras,1,Transport Pokémon,2,Water,Ice,2.5,220.0,3,Water Absorb,Shell Armor,Hydration,535.0,130.0,85.0,80.0,85.0,95.0,60.0,45.0,1996-01-01,Slow,Strong
132,Ditto,1,Transform Pokémon,1,Normal,None,0.3,4.0,2,Limber,None,Imposter,288.0,48.0,48.0,48.0,48.0,48.0,48.0,35.0,1996-01-01,Slow,weak
133,Eevee,1,Evolution Pokémon,1,Normal,None,0.3,6.5,3,Run Away,Adaptability,Anticipation,325.0,55.0,55.0,50.0,45.0,65.0,55.0,45.0,1996-01-01,Slow,weak
133,Partner Eevee,1,Evolution Pokémon,1,Normal,None,0.3,6.5,1,,None,Anticipation,435.0,65.0,75.0,70.0,65.0,85.0,75.0,45.0,1996-01-01,Fast,weak
134,Vaporeon,1,Bubble Jet Pokémon,1,Water,None,1.0,29.0,2,Water Absorb,None,Hydration,525.0,130.0,65.0,60.0,110.0,95.0,65.0,45.0,1996-01-01,Slow,Strong
135,Jolteon,1,Lightning Pokémon,1,Electric,None,0.8,24.5,2,Volt Absorb,None,Quick Feet,525.0,65.0,65.0,60.0,110.0,95.0,130.0,45.0,1996-01-01,Fast,Strong
136,Flareon,1,Flame Pokémon,1,Fire,None,0.9,25.0,2,Flash Fire,None,Guts,525.0,65.0,130.0,60.0,95.0,110.0,65.0,45.0,1996-01-01,Slow,Strong
137,Porygon,1,Virtual Pokémon,1,Normal,None,0.8,36.5,3,Trace,Download,Analytic,395.0,65.0,60.0,70.0,85.0,75.0,40.0,45.0,1996-01-01,Slow,weak
138,Omanyte,1,Spiral Pokémon,2,Rock,Water,0.4,7.5,3,Swift Swim,Shell Armor,Weak Armor,355.0,35.0,40.0,100.0,90.0,55.0,35.0,45.0,1996-01-01,Slow,weak
139,Omastar,1,Spiral Pokémon,2,Rock,Water,1.0,35.0,3,Swift Swim,Shell Armor,Weak Armor,495.0,70.0,60.0,125.0,115.0,70.0,55.0,45.0,1996-01-01,Slow,Strong
140,Kabuto,1,Shellfish Pokémon,2,Rock,Water,0.5,11.5,3,Swift Swim,Battle Armor,Weak Armor,355.0,30.0,80.0,90.0,55.0,45.0,55.0,45.0,1996-01-01,Slow,weak
141,Kabutops,1,Shellfish Pokémon,2,Rock,Water,1.3,40.5,3,Swift Swim,Battle Armor,Weak Armor,495.0,60.0,115.0,105.0,65.0,70.0,80.0,45.0,1996-01-01,Fast,Strong
142,Aerodactyl,1,Fossil Pokémon,2,Rock,Flying,1.8,59.0,3,Rock Head,Pressure,Unnerve,515.0,80.0,105.0,65.0,60.0,75.0,130.0,45.0,1996-01-01,Fast,Strong
142,Mega Aerodactyl,1,Fossil Pokémon,2,Rock,Flying,2.1,79.0,1,Tough Claws,None,None,615.0,80.0,135.0,85.0,70.0,95.0,150.0,45.0,1996-01-01,Fast,Strong
143,Snorlax,1,Sleeping Pokémon,1,Normal,None,2.1,460.0,3,Immunity,Thick Fat,Gluttony,540.0,160.0,110.0,65.0,65.0,110.0,30.0,25.0,1996-01-01,Slow,Strong
144,Articuno,1,Freeze Pokémon,2,Ice,Flying,1.7,55.4,2,Pressure,None,Snow Cloak,580.0,90.0,85.0,100.0,95.0,125.0,85.0,3.0,1996-01-01,Fast,Strong
145,Zapdos,1,Electric Pokémon,2,Electric,Flying,1.6,52.6,2,Pressure,None,Static,580.0,90.0,90.0,85.0,125.0,90.0,100.0,3.0,1996-01-01,Fast,Strong
146,Moltres,1,Flame Pokémon,2,Fire,Flying,2.0,60.0,2,Pressure,None,Flame Body,580.0,90.0,100.0,90.0,125.0,85.0,90.0,3.0,1996-01-01,Fast,Strong
147,Dratini,1,Dragon Pokémon,1,Dragon,None,1.8,3.3,2,Shed Skin,None,Marvel Scale,300.0,41.0,64.0,45.0,50.0,50.0,50.0,45.0,1996-01-01,Slow,weak
148,Dragonair,1,Dragon Pokémon,1,Dragon,None,4.0,16.5,2,Shed Skin,None,Marvel Scale,420.0,61.0,84.0,65.0,70.0,70.0,70.0,45.0,1996-01-01,Fast,weak
149,Dragonite,1,Dragon Pokémon,2,Dragon,Flying,2.2,210.0,2,Inner Focus,None,Multiscale,600.0,91.0,134.0,95.0,100.0,100.0,80.0,45.0,1996-01-01,Fast,Strong
150,Mewtwo,1,Genetic Pokémon,1,Psychic,None,2.0,122.0,2,Pressure,None,Unnerve,680.0,106.0,110.0,90.0,154.0,90.0,130.0,3.0,1996-01-01,Fast,Strong
150,Mega Mewtwo X,1,Genetic Pokémon,2,Psychic,Fighting,2.3,127.0,1,Steadfast,None,None,780.0,106.0,190.0,100.0,154.0,100.0,130.0,3.0,1996-01-01,Fast,Strong
150,Mega Mewtwo Y,1,Genetic Pokémon,1,Psychic,None,1.5,33.0,1,Insomnia,None,None,780.0,106.0,150.0,70.0,194.0,120.0,140.0,3.0,1996-01-01,Fast,Strong
151,Mew,1,New Species Pokémon,1,Psychic,None,0.4,4.0,1,Synchronize,None,None,600.0,100.0,100.0,100.0,100.0,100.0,100.0,45.0,1996-01-01,Fast,Strong
152,Chikorita,2,Leaf Pokémon,1,Grass,None,0.9,6.4,2,Overgrow,None,Leaf Guard,318.0,45.0,49.0,65.0,49.0,65.0,45.0,45.0,1999-01-01,Slow,weak
153,Bayleef,2,Leaf Pokémon,1,Grass,None,1.2,15.8,2,Overgrow,None,Leaf Guard,405.0,60.0,62.0,80.0,63.0,80.0,60.0,45.0,1999-01-01,Slow,weak
154,Meganium,2,Herb Pokémon,1,Grass,None,1.8,100.5,2,Overgrow,None,Leaf Guard,525.0,80.0,82.0,100.0,83.0,100.0,80.0,45.0,1999-01-01,Fast,Strong
155,Cyndaquil,2,Fire Mouse Pokémon,1,Fire,None,0.5,7.9,2,Blaze,None,Flash Fire,309.0,39.0,52.0,43.0,60.0,50.0,65.0,45.0,1999-01-01,Slow,weak
156,Quilava,2,Volcano Pokémon,1,Fire,None,0.9,19.0,2,Blaze,None,Flash Fire,405.0,58.0,64.0,58.0,80.0,65.0,80.0,45.0,1999-01-01,Fast,weak
157,Typhlosion,2,Volcano Pokémon,1,Fire,None,1.7,79.5,2,Blaze,None,Flash Fire,534.0,78.0,84.0,78.0,109.0,85.0,100.0,45.0,1999-01-01,Fast,Strong
158,Totodile,2,Big Jaw Pokémon,1,Water,None,0.6,9.5,2,Torrent,None,Sheer Force,314.0,50.0,65.0,64.0,44.0,48.0,43.0,45.0,1999-01-01,Slow,weak
159,Croconaw,2,Big Jaw Pokémon,1,Water,None,1.1,25.0,2,Torrent,None,Sheer Force,405.0,65.0,80.0,80.0,59.0,63.0,58.0,45.0,1999-01-01,Slow,weak
160,Feraligatr,2,Big Jaw Pokémon,1,Water,None,2.3,88.8,2,Torrent,None,Sheer Force,530.0,85.0,105.0,100.0,79.0,83.0,78.0,45.0,1999-01-01,Fast,Strong
161,Sentret,2,Scout Pokémon,1,Normal,None,0.8,6.0,3,Run Away,Keen Eye,Frisk,215.0,35.0,46.0,34.0,35.0,45.0,20.0,255.0,1999-01-01,Slow,weak
162,Furret,2,Long Body Pokémon,1,Normal,None,1.8,32.5,3,Run Away,Keen Eye,Frisk,415.0,85.0,76.0,64.0,45.0,55.0,90.0,90.0,1999-01-01,Fast,weak
163,Hoothoot,2,Owl Pokémon,2,Normal,Flying,0.7,21.2,3,Insomnia,Keen Eye,Tinted Lens,262.0,60.0,30.0,30.0,36.0,56.0,50.0,255.0,1999-01-01,Slow,weak
164,Noctowl,2,Owl Pokémon,2,Normal,Flying,1.6,40.8,3,Insomnia,Keen Eye,Tinted Lens,452.0,100.0,50.0,50.0,86.0,96.0,70.0,90.0,1999-01-01,Fast,Strong
165,Ledyba,2,Five Star Pokémon,2,Bug,Flying,1.0,10.8,3,Swarm,Early Bird,Rattled,265.0,40.0,20.0,30.0,40.0,80.0,55.0,255.0,1999-01-01,Slow,weak
166,Ledian,2,Five Star Pokémon,2,Bug,Flying,1.4,35.6,3,Swarm,Early Bird,Iron Fist,390.0,55.0,35.0,50.0,55.0,110.0,85.0,90.0,1999-01-01,Fast,weak
167,Spinarak,2,String Spit Pokémon,2,Bug,Poison,0.5,8.5,3,Swarm,Insomnia,Sniper,250.0,40.0,60.0,40.0,40.0,40.0,30.0,255.0,1999-01-01,Slow,weak
168,Ariados,2,Long Leg Pokémon,2,Bug,Poison,1.1,33.5,3,Swarm,Insomnia,Sniper,400.0,70.0,90.0,70.0,60.0,70.0,40.0,90.0,1999-01-01,Slow,weak
169,Crobat,2,Bat Pokémon,2,Poison,Flying,1.8,75.0,2,Inner Focus,None,Infiltrator,535.0,85.0,90.0,80.0,70.0,80.0,130.0,90.0,1999-01-01,Fast,Strong
170,Chinchou,2,Angler Pokémon,2,Water,Electric,0.5,12.0,3,Volt Absorb,Illuminate,Water Absorb,330.0,75.0,38.0,38.0,56.0,56.0,67.0,190.0,1999-01-01,Slow,weak
171,Lanturn,2,Light Pokémon,2,Water,Electric,1.2,22.5,3,Volt Absorb,Illuminate,Water Absorb,460.0,125.0,58.0,58.0,76.0,76.0,67.0,75.0,1999-01-01,Slow,Strong
172,Pichu,2,Tiny Mouse Pokémon,1,Electric,None,0.3,2.0,2,Static,None,Lightning Rod,205.0,20.0,40.0,15.0,35.0,35.0,60.0,190.0,1999-01-01,Slow,weak
173,Cleffa,2,Star Shape Pokémon,1,Fairy,None,0.3,3.0,3,Cute Charm,Magic Guard,Friend Guard,218.0,50.0,25.0,28.0,45.0,55.0,15.0,150.0,1999-01-01,Slow,weak
174,Igglybuff,2,Balloon Pokémon,2,Normal,Fairy,0.3,1.0,3,Cute Charm,Competitive,Friend Guard,210.0,90.0,30.0,15.0,40.0,20.0,15.0,170.0,1999-01-01,Slow,weak
175,Togepi,2,Spike Ball Pokémon,1,Fairy,None,0.3,1.5,3,Hustle,Serene Grace,Super Luck,245.0,35.0,20.0,65.0,40.0,65.0,20.0,190.0,1999-01-01,Slow,weak
176,Togetic,2,Happiness Pokémon,2,Fairy,Flying,0.6,3.2,3,Hustle,Serene Grace,Super Luck,405.0,55.0,40.0,85.0,80.0,105.0,40.0,75.0,1999-01-01,Slow,weak
177,Natu,2,Tiny Bird Pokémon,2,Psychic,Flying,0.2,2.0,3,Synchronize,Early Bird,Magic Bounce,320.0,40.0,50.0,45.0,70.0,45.0,70.0,190.0,1999-01-01,Fast,weak
178,Xatu,2,Mystic Pokémon,2,Psychic,Flying,1.5,15.0,3,Synchronize,Early Bird,Magic Bounce,470.0,65.0,75.0,70.0,95.0,70.0,95.0,75.0,1999-01-01,Fast,Strong
179,Mareep,2,Wool Pokémon,1,Electric,None,0.6,7.8,2,Static,None,Plus,280.0,55.0,40.0,40.0,65.0,45.0,35.0,235.0,1999-01-01,Slow,weak
180,Flaaffy,2,Wool Pokémon,1,Electric,None,0.8,13.3,2,Static,None,Plus,365.0,70.0,55.0,55.0,80.0,60.0,45.0,120.0,1999-01-01,Slow,weak
181,Ampharos,2,Light Pokémon,1,Electric,None,1.4,61.5,2,Static,None,Plus,510.0,90.0,75.0,85.0,115.0,90.0,55.0,45.0,1999-01-01,Slow,Strong
181,Mega Ampharos,2,Light Pokémon,2,Electric,Dragon,1.4,61.5,1,Mold Breaker,None,None,610.0,90.0,95.0,105.0,165.0,110.0,45.0,45.0,1999-01-01,Slow,Strong
182,Bellossom,2,Flower Pokémon,1,Grass,None,0.4,5.8,2,Chlorophyll,None,Healer,490.0,75.0,80.0,95.0,90.0,100.0,50.0,45.0,1999-01-01,Slow,Strong
183,Marill,2,Aqua Mouse Pokémon,2,Water,Fairy,0.4,8.5,3,Thick Fat,Huge Power,Sap Sipper,250.0,70.0,20.0,50.0,20.0,50.0,40.0,190.0,1999-01-01,Slow,weak
184,Azumarill,2,Aqua Rabbit Pokémon,2,Water,Fairy,0.8,28.5,3,Thick Fat,Huge Power,Sap Sipper,420.0,100.0,50.0,80.0,60.0,80.0,50.0,75.0,1999-01-01,Slow,weak
185,Sudowoodo,2,Imitation Pokémon,1,Rock,None,1.2,38.0,3,Sturdy,Rock Head,Rattled,410.0,70.0,100.0,115.0,30.0,65.0,30.0,65.0,1999-01-01,Slow,weak
186,Politoed,2,Frog Pokémon,1,Water,None,1.1,33.9,3,Water Absorb,Damp,Drizzle,500.0,90.0,75.0,75.0,90.0,100.0,70.0,45.0,1999-01-01,Fast,Strong
187,Hoppip,2,Cottonweed Pokémon,2,Grass,Flying,0.4,0.5,3,Chlorophyll,Leaf Guard,Infiltrator,250.0,35.0,35.0,40.0,35.0,55.0,50.0,255.0,1999-01-01,Slow,weak
188,Skiploom,2,Cottonweed Pokémon,2,Grass,Flying,0.6,1.0,3,Chlorophyll,Leaf Guard,Infiltrator,340.0,55.0,45.0,50.0,45.0,65.0,80.0,120.0,1999-01-01,Fast,weak
189,Jumpluff,2,Cottonweed Pokémon,2,Grass,Flying,0.8,3.0,3,Chlorophyll,Leaf Guard,Infiltrator,460.0,75.0,55.0,70.0,55.0,95.0,110.0,45.0,1999-01-01,Fast,Strong
190,Aipom,2,Long Tail Pokémon,1,Normal,None,0.8,11.5,3,Run Away,Pickup,Skill Link,360.0,55.0,70.0,55.0,40.0,55.0,85.0,45.0,1999-01-01,Fast,weak
191,Sunkern,2,Seed Pokémon,1,Grass,None,0.3,1.8,3,Chlorophyll,Solar Power,Early Bird,180.0,30.0,30.0,30.0,30.0,30.0,30.0,235.0,1999-01-01,Slow,weak
192,Sunflora,2,Sun Pokémon,1,Grass,None,0.8,8.5,3,Chlorophyll,Solar Power,Early Bird,425.0,75.0,75.0,55.0,105.0,85.0,30.0,120.0,1999-01-01,Slow,weak
193,Yanma,2,Clear Wing Pokémon,2,Bug,Flying,1.2,38.0,3,Speed Boost,Compound Eyes,Frisk,390.0,65.0,65.0,45.0,75.0,45.0,95.0,75.0,1999-01-01,Fast,weak
194,Wooper,2,Water Fish Pokémon,2,Water,Ground,0.4,8.5,3,Damp,Water Absorb,Unaware,210.0,55.0,45.0,45.0,25.0,25.0,15.0,255.0,1999-01-01,Slow,weak
195,Quagsire,2,Water Fish Pokémon,2,Water,Ground,1.4,75.0,3,Damp,Water Absorb,Unaware,430.0,95.0,85.0,85.0,65.0,65.0,35.0,90.0,1999-01-01,Slow,weak
196,Espeon,2,Sun Pokémon,1,Psychic,None,0.9,26.5,2,Synchronize,None,Magic Bounce,525.0,65.0,65.0,60.0,130.0,95.0,110.0,45.0,1999-01-01,Fast,Strong
197,Umbreon,2,Moonlight Pokémon,1,Dark,None,1.0,27.0,2,Synchronize,None,Inner Focus,525.0,95.0,65.0,110.0,60.0,130.0,65.0,45.0,1999-01-01,Slow,Strong
198,Murkrow,2,Darkness Pokémon,2,Dark,Flying,0.5,2.1,3,Insomnia,Super Luck,Prankster,405.0,60.0,85.0,42.0,85.0,42.0,91.0,30.0,1999-01-01,Fast,weak
199,Slowking,2,Royal Pokémon,2,Water,Psychic,2.0,79.5,3,Oblivious,Own Tempo,Regenerator,490.0,95.0,75.0,80.0,100.0,110.0,30.0,70.0,1999-01-01,Slow,Strong
200,Misdreavus,2,Screech Pokémon,1,Ghost,None,0.7,1.0,1,Levitate,None,None,435.0,60.0,60.0,60.0,85.0,85.0,85.0,45.0,1999-01-01,Fast,weak
201,Unown,2,Symbol Pokémon,1,Psychic,None,0.5,5.0,1,Levitate,None,None,336.0,48.0,72.0,48.0,72.0,48.0,48.0,225.0,1999-01-01,Slow,weak
202,Wobbuffet,2,Patient Pokémon,1,Psychic,None,1.3,28.5,2,Shadow Tag,None,Telepathy,405.0,190.0,33.0,58.0,33.0,58.0,33.0,45.0,1999-01-01,Slow,weak
203,Girafarig,2,Long Neck Pokémon,2,Normal,Psychic,1.5,41.5,3,Inner Focus,Early Bird,Sap Sipper,455.0,70.0,80.0,65.0,90.0,65.0,85.0,60.0,1999-01-01,Fast,Strong
204,Pineco,2,Bagworm Pokémon,1,Bug,None,0.6,7.2,2,Sturdy,None,Overcoat,290.0,50.0,65.0,90.0,35.0,35.0,15.0,190.0,1999-01-01,Slow,weak
205,Forretress,2,Bagworm Pokémon,2,Bug,Steel,1.2,125.8,2,Sturdy,None,Overcoat,465.0,75.0,90.0,140.0,60.0,60.0,40.0,75.0,1999-01-01,Slow,Strong
206,Dunsparce,2,Land Snake Pokémon,1,Normal,None,1.5,14.0,3,Serene Grace,Run Away,Rattled,415.0,100.0,70.0,70.0,65.0,65.0,45.0,190.0,1999-01-01,Slow,weak
207,Gligar,2,FlyScorpion Pokémon,2,Ground,Flying,1.1,64.8,3,Hyper Cutter,Sand Veil,Immunity,430.0,65.0,75.0,105.0,35.0,65.0,85.0,60.0,1999-01-01,Fast,weak
208,Steelix,2,Iron Snake Pokémon,2,Steel,Ground,9.2,400.0,3,Rock Head,Sturdy,Sheer Force,510.0,75.0,85.0,200.0,55.0,65.0,30.0,25.0,1999-01-01,Slow,Strong
208,Mega Steelix,2,Iron Snake Pokémon,2,Steel,Ground,10.5,740.0,1,Sand Force,None,None,610.0,75.0,125.0,230.0,55.0,95.0,30.0,25.0,1999-01-01,Slow,Strong
209,Snubbull,2,Fairy Pokémon,1,Fairy,None,0.6,7.8,3,Intimidate,Run Away,Rattled,300.0,60.0,80.0,50.0,40.0,40.0,30.0,190.0,1999-01-01,Slow,weak
210,Granbull,2,Fairy Pokémon,1,Fairy,None,1.4,48.7,3,Intimidate,Quick Feet,Rattled,450.0,90.0,120.0,75.0,60.0,60.0,45.0,75.0,1999-01-01,Slow,Strong
211,Qwilfish,2,Balloon Pokémon,2,Water,Poison,0.5,3.9,3,Poison Point,Swift Swim,Intimidate,440.0,65.0,95.0,85.0,55.0,55.0,85.0,45.0,1999-01-01,Fast,Strong
212,Scizor,2,Pincer Pokémon,2,Bug,Steel,1.8,118.0,3,Swarm,Technician,Light Metal,500.0,70.0,130.0,100.0,55.0,80.0,65.0,25.0,1999-01-01,Slow,Strong
212,Mega Scizor,2,Pincer Pokémon,2,Bug,Steel,2.0,125.0,1,Technician,None,None,600.0,70.0,150.0,140.0,65.0,100.0,75.0,25.0,1999-01-01,Fast,Strong
213,Shuckle,2,Mold Pokémon,2,Bug,Rock,0.6,20.5,3,Sturdy,Gluttony,Contrary,505.0,20.0,10.0,230.0,10.0,230.0,5.0,190.0,1999-01-01,Slow,Strong
214,Heracross,2,Single Horn Pokémon,2,Bug,Fighting,1.5,54.0,3,Swarm,Guts,Moxie,500.0,80.0,125.0,75.0,40.0,95.0,85.0,45.0,1999-01-01,Fast,Strong
214,Mega Heracross,2,Single Horn Pokémon,2,Bug,Fighting,1.7,62.5,1,Skill Link,None,None,600.0,80.0,185.0,115.0,40.0,105.0,75.0,45.0,1999-01-01,Fast,Strong
215,Sneasel,2,Sharp Claw Pokémon,2,Dark,Ice,0.9,28.0,3,Inner Focus,Keen Eye,Pickpocket,430.0,55.0,95.0,55.0,35.0,75.0,115.0,60.0,1999-01-01,Fast,weak
216,Teddiursa,2,Little Bear Pokémon,1,Normal,None,0.6,8.8,3,Pickup,Quick Feet,Honey Gather,330.0,60.0,80.0,50.0,50.0,50.0,40.0,120.0,1999-01-01,Slow,weak
217,Ursaring,2,Hibernator Pokémon,1,Normal,None,1.8,125.8,3,Guts,Quick Feet,Unnerve,500.0,90.0,130.0,75.0,75.0,75.0,55.0,60.0,1999-01-01,Slow,Strong
218,Slugma,2,Lava Pokémon,1,Fire,None,0.7,35.0,3,Magma Armor,Flame Body,Weak Armor,250.0,40.0,40.0,40.0,70.0,40.0,20.0,190.0,1999-01-01,Slow,weak
219,Magcargo,2,Lava Pokémon,2,Fire,Rock,0.8,55.0,3,Magma Armor,Flame Body,Weak Armor,430.0,60.0,50.0,120.0,90.0,80.0,30.0,75.0,1999-01-01,Slow,weak
220,Swinub,2,Pig Pokémon,2,Ice,Ground,0.4,6.5,3,Oblivious,Snow Cloak,Thick Fat,250.0,50.0,50.0,40.0,30.0,30.0,50.0,225.0,1999-01-01,Slow,weak
221,Piloswine,2,Swine Pokémon,2,Ice,Ground,1.1,55.8,3,Oblivious,Snow Cloak,Thick Fat,450.0,100.0,100.0,80.0,60.0,60.0,50.0,75.0,1999-01-01,Slow,Strong
222,Corsola,2,Coral Pokémon,2,Water,Rock,0.6,5.0,3,Hustle,Natural Cure,Regenerator,410.0,65.0,55.0,95.0,65.0,95.0,35.0,60.0,1999-01-01,Slow,weak
222,Galarian Corsola,2,Coral Pokémon,1,Ghost,None,0.6,0.5,2,Weak Armor,None,Cursed Body,410.0,60.0,55.0,100.0,65.0,100.0,30.0,,1999-01-01,Slow,weak
